A0_Iron Vipers_Kallie Carr_35
A163_Crimson Dragons_Robert Guerra_78
A164_Savage Titans_Edith Roth_62
A165_Golden Titans_Roy Blackburn_91
A166_Thunder Titans_Frida Velazquez_46
A167_Shadow Dragons_Drew O’Connor_48
A168_Crimson Dragons_Charli King_6
A169_Silent Titans_Julian Munoz_27
A170_Frozen Falcons_Kehlani Watkins_40
A171_Iron Falcons_Nash Hunt_3
A172_Crimson Falcons_Genevieve Armstrong_84
A173_Silent Dragons_Grant Peters_49
A174_Iron Giants_Leila Orozco_14
A175_Savage Vipers_Keanu Lloyd_31
A176_Golden Vipers_Emely Dunlap_71
A177_Shadow Giants_Aries May_66
A178_Shadow Giants_Adriana McClain_82
A179_Iron Knights_Mitchell Mays_82
A180_Crimson Giants_Denisse Stephenson_68
A181_Frozen Titans_Joe Quinn_92
A182_Savage Raiders_Heaven Hendricks_36
A183_Frozen Dragons_Dash Macdonald_17
A184_Shadow Dragons_Rosalia Collins_96
A185_Savage Titans_Miles Tanner_25
A186_Golden Wolves_Harmoni Li_22
A187_Golden Raiders_Jorge Rowland_48
A188_Crimson Wolves_Harleigh Warner_68
A189_Frozen Titans_Jaxton Arnold_43
A190_Shadow Dragons_Finley Bailey_98
A191_Golden Dragons_Axel Vincent_9
A192_Shadow Giants_Allyson Wagner_86
A193_Silent Raiders_Enzo Warren_59
A194_Frozen Vipers_Sloane Weiss_68
A195_Iron Wolves_Koa Harvey_48
A196_Iron Falcons_Nicole Gardner_48
A197_Shadow Giants_Alan Duncan_66
A198_Thunder Raiders_Elise Ingram_13
A199_Savage Dragons_Tripp Horne_7
A200_Frozen Knights_Marlowe Li_10
A201_Shadow Wolves_Jorge Bass_51
A202_Thunder Wolves_Zahra Middleton_79
A203_Silent Dragons_Misael Stanley_44
A204_Silent Giants_Gracelyn Avila_98
A205_Golden Wolves_Jaylen Woodward_45
A206_Frozen Knights_Drew Potter_29
A207_Iron Knights_Lucca O’Connor_53
A208_Iron Falcons_Charli Avila_70
A209_Frozen Giants_Jaylen Turner_42
A210_Crimson Knights_Brooklyn Bennett_87
A211_Silent Falcons_Leonardo Stanley_7
A212_Thunder Falcons_Gracelyn Lucero_52
A213_Golden Wolves_Felipe Blankenship_43
A214_Frozen Falcons_Rosalee Chavez_40
A215_Iron Falcons_Ian Clark_17
A216_Savage Raiders_Chloe Long_68
A217_Savage Knights_Jace Glenn_58
A218_Thunder Wolves_Blaire Christensen_15
A219_Savage Giants_Gregory Shah_47
A220_Savage Titans_Angelica Jimenez_24
A221_Thunder Dragons_Silas Nelson_30
A222_Frozen Falcons_Everly Jacobson_89
A223_Frozen Wolves_Legacy O’brien_42
A224_Crimson Wolves_Joanna Doyle_33
A225_Silent Dragons_Kashton Hubbard_61
A226_Golden Dragons_Rosie Nichols_89
A227_Silent Falcons_Atlas Owen_83
A228_Crimson Titans_Mikayla Munoz_32
A229_Savage Giants_Justin Montgomery_45
A230_Shadow Vipers_Evangeline Kelley_60
A231_Frozen Raiders_Eric Massey_93
A232_Golden Dragons_Clementine Leblanc_55
A233_Crimson Dragons_Braden Mendez_81
A234_Silent Vipers_Londyn Cunningham_45
A235_Savage Wolves_Alejandro Ferguson_42
A236_Shadow Vipers_Juliana Sloan_65
A237_Crimson Giants_Ocean Diaz_44
A238_Frozen Falcons_Elena Hammond_95
A239_Golden Giants_Francis Dominguez_89
A240_Silent Dragons_Raegan Glass_13
A241_Golden Vipers_Allan McDaniel_8
A242_Shadow Knights_Dahlia Malone_96
A243_Golden Giants_Ruben Yoder_51
A244_Silent Titans_Emerie Chandler_10
A245_Iron Titans_Royal Medina_31
A246_Crimson Wolves_Elliana Salinas_99
A247_Golden Raiders_Edgar Jones_11
A248_Crimson Raiders_Sophia Dudley_32
A249_Thunder Knights_Colter Hoffman_39
A250_Frozen Wolves_Aspen Charles_19
A251_Frozen Wolves_Conrad Lambert_39
A252_Silent Falcons_Nina Lucero_61
A253_Thunder Titans_Felipe Mathis_89
A254_Crimson Wolves_Anne Lucas_6
A255_Thunder Knights_Chance Pineda_18
A256_Crimson Knights_Nola Norris_76
A257_Crimson Raiders_Cairo Garza_30
A258_Golden Raiders_River Crawford_55
A259_Crimson Dragons_Kevin Hogan_98
A260_Shadow Giants_Kathryn Hall_50
A261_Golden Raiders_Thomas Fisher_56
A262_Silent Raiders_Arya Mendez_22
A263_Frozen Vipers_Arthur Livingston_100
A264_Thunder Giants_Milena Freeman_75
A265_Savage Vipers_Jayce Yates_83
A266_Iron Raiders_Charley Booth_50
A267_Crimson Falcons_Chaim Bauer_36
A268_Frozen Raiders_Haley Molina_99
A269_Frozen Raiders_Prince Zhang_100
A270_Silent Dragons_Sarai Griffith_73
A271_Thunder Knights_Franklin Arnold_66
A272_Savage Titans_Finley Silva_38
A273_Frozen Giants_Luka Cook_66
A274_Crimson Vipers_Aaliyah Clay_73
A275_Iron Knights_Yosef Dillon_37
A276_Golden Giants_Laurel Knox_71
A277_Thunder Dragons_Valentin Cohen_4
A278_Frozen Vipers_Destiny Guevara_11
A279_Crimson Wolves_Tommy Grant_48
A280_Frozen Wolves_Alaina Gaines_3
A281_Golden Dragons_Talon Weber_58
A282_Frozen Falcons_Alayah Hail_90
A283_Savage Falcons_Hector McPherson_16
A284_Frozen Dragons_Emmaline Owens_59
A285_Frozen Knights_Adriel Hayden_64
A286_Iron Giants_Avayah Clay_78
A287_Iron Wolves_Yosef Paul_42
A288_Shadow Dragons_Daphne Skinner_33
A289_Silent Titans_Ridge Weaver_62
A290_Shadow Vipers_Teagan Flowers_79
A291_Silent Titans_Saul O’Connell_17
A292_Frozen Dragons_Jillian Nelson_63
A293_Savage Raiders_Dylan Rivers_41
A294_Shadow Raiders_Kiana Benson_6
A295_Thunder Vipers_Desmond Reid_54
A296_Crimson Raiders_Charlee Higgins_37
A297_Thunder Vipers_Sterling Figueroa_18
A298_Iron Wolves_Lilith Rodgers_15
A299_Crimson Knights_Mathias Greer_12
A300_Savage Raiders_Reina Rubio_29
A301_Savage Wolves_Titan Kelly_43
A302_Silent Knights_Ruby Wilkinson_18
A303_Iron Falcons_Leonard Johns_98
A304_Shadow Vipers_Giovanna Brady_2
A305_Savage Vipers_Reed Whitney_25
A306_Thunder Falcons_Madalynn McDowell_62
A307_Golden Knights_Lachlan Huerta_82
A308_Silent Dragons_Dulce Wright_48
A309_Thunder Raiders_Grayson Scott_26
A310_Frozen Vipers_Aurora Rojas_62
A311_Silent Falcons_Colin Brandt_62
A312_Silent Vipers_Loretta Wu_47
A313_Golden Giants_Kyson Walters_48
A314_Crimson Raiders_Samara Mercado_54
A315_Iron Falcons_Abram McCoy_99
A316_Shadow Raiders_Mckenzie Burke_50
A317_Thunder Giants_Jax Carson_26
A318_Frozen Dragons_Nalani Spencer_76
A319_Savage Giants_Ace Kemp_65
A320_Thunder Titans_Anika Ponce_38
A321_Frozen Dragons_Langston Yang_56
A322_Thunder Dragons_Angelina Garner_42
A323_Savage Wolves_Sage Hines_36
A324_Savage Dragons_Poppy Brewer_35
A325_Iron Raiders_Cruz Pierce_61
A326_Silent Dragons_Arabella Stevens_79
A327_Golden Vipers_Zachary Alfaro_33
A328_Savage Knights_Yasmin Morales_33
A329_Frozen Raiders_Aaron Humphrey_44
A330_Savage Raiders_Journi Moody_39
A331_Iron Titans_Ryland Watkins_69
A332_Frozen Wolves_Lola Schaefer_24
A333_Thunder Giants_Ishaan Duncan_88
A334_Shadow Vipers_Elise Robbins_36
A335_Savage Vipers_Finnegan Sweeney_2
A336_Savage Raiders_Yara Weaver_38
A337_Crimson Dragons_Tucker Coleman_9
A338_Frozen Knights_Julia Lawson_14
A339_Iron Knights_Lane Yates_58
A340_Savage Titans_Charley James_26
A341_Crimson Dragons_Jaxson Russell_87
A342_Crimson Wolves_Raelynn Santos_36
A343_Shadow Falcons_Walker Holloway_7
A344_Crimson Giants_Mae Leon_91
A345_Frozen Vipers_Marshall Castillo_98
A346_Savage Vipers_Eva Craig_87
A347_Iron Wolves_Odin Baxter_17
A348_Iron Titans_Lara Coleman_53
A349_Golden Titans_Micah Stout_90
A350_Thunder Knights_Chana Ellison_85
A351_Silent Dragons_Kye David_10
A352_Frozen Dragons_Haylee Molina_17
A353_Savage Dragons_Prince Higgins_42
A354_Savage Titans_Leighton Harris_30
A355_Golden Raiders_Samuel Harrington_8
A356_Golden Falcons_Legacy Wilkerson_23
A357_Shadow Titans_Carmelo O’brien_19
A358_Savage Falcons_Joanna Quinn_100
A359_Silent Wolves_Rhys Murphy_2
A360_Crimson Giants_Bella Horton_10
A361_Crimson Titans_Garrett Roth_43
A362_Shadow Raiders_Elliot King_4
A363_Shadow Raiders_Julian Lang_17
A364_Iron Titans_Amirah Owen_44
A365_Shadow Titans_Cannon Bauer_66
A366_Savage Giants_Haley Lucas_61
A367_Crimson Falcons_Chance Chambers_51
A368_Golden Falcons_Makayla Daniels_35
A369_Golden Giants_Xander Huffman_89
A370_Silent Falcons_Hayley Smith_48
A371_Thunder Knights_Liam Richards_100
A372_Thunder Vipers_Trinity Burke_69
A373_Iron Falcons_Jax Marsh_39
A374_Thunder Falcons_Adelina Mills_50
A375_Iron Dragons_Alex McCullough_1
A376_Iron Raiders_Hana Watkins_61
A377_Iron Titans_Nash Hoffman_98
A378_Iron Giants_Aspen Duncan_30
A379_Frozen Knights_Avery Small_13
A380_Silent Giants_Zaria Barajas_41
A381_Golden Raiders_Brennan Stokes_65
A382_Savage Knights_Miranda Mullins_90
A383_Shadow Giants_Allen Zuniga_39
A384_Frozen Vipers_Leslie Barrera_75
A385_Iron Dragons_Makai Lynch_24
A386_Silent Knights_Malia Leblanc_15
A387_Savage Vipers_Braden Prince_55
A388_Shadow Giants_Greta Day_3
A389_Frozen Falcons_Kayson Bishop_11
A390_Iron Raiders_Brooklynn Ramirez_62
A391_Iron Wolves_David Wiggins_79
A392_Savage Titans_Capri Bautista_14
A393_Shadow Dragons_Raul Atkins_78
A394_Thunder Raiders_Mina Williams_98
A395_Iron Titans_Oliver Bates_90
A396_Silent Titans_Madilyn Tucker_23
A397_Thunder Titans_Ivan Marquez_78
A398_Golden Dragons_Milani Lynch_60
A399_Silent Titans_Zane Ford_39
A400_Silent Falcons_Alexandra Klein_42
A401_Savage Dragons_Marco Cameron_46
A402_Crimson Giants_Julie Xiong_32
A403_Frozen Falcons_Azrael Carlson_25
A404_Shadow Vipers_Kali Snyder_51
A405_Thunder Giants_Thiago Arellano_65
A406_Silent Dragons_Faye Randolph_16
A407_Silent Giants_Eugene Lambert_10
A408_Silent Falcons_Nina Glenn_44
A409_Shadow Falcons_Zaid Lynn_2
A410_Silent Raiders_Samira Walton_33
A411_Thunder Titans_Dominick Shannon_72
A412_Silent Knights_Harlee Costa_31
A413_Frozen Raiders_Kenji Alfaro_17
A414_Silent Knights_Yasmin Escobar_96
A415_Frozen Raiders_Zachariah Hampton_29
A416_Shadow Titans_Leona Rangel_14
A417_Frozen Falcons_Saint Bowman_54
A418_Silent Knights_Fiona Wise_40
A419_Crimson Vipers_Frederick O’Neill_3
A420_Iron Knights_Kenna Figueroa_17
A421_Thunder Knights_Spencer Jennings_1
A422_Silent Titans_Palmer Kirby_67
A423_Golden Knights_Tony Mathews_24
A424_Shadow Falcons_Sloan Cordova_69
A425_Iron Raiders_Vicente Ashley_68
A426_Frozen Giants_Khalani Parker_69
A427_Savage Raiders_Caleb Yang_89
A428_Silent Vipers_Angelina Mendoza_65
A429_Frozen Raiders_Dominic Burns_79
A430_Iron Knights_Emerson Xiong_64
A431_Crimson Vipers_Azrael Dawson_79
A432_Thunder Knights_Veronica Best_3
A433_Silent Giants_Harlem Barron_53
A434_Silent Titans_Anya Brock_91
A435_Crimson Giants_Julio Lamb_85
A436_Shadow Vipers_Amaia Raymond_21
A437_Silent Giants_Maurice Vu_61
A438_Silent Giants_Kimora Collier_27
A439_Thunder Knights_Edison Hayes_43
A440_Crimson Giants_Iris Sheppard_75
A441_Crimson Vipers_Trent McCann_21
A442_Savage Giants_Joyce Rich_11
A443_Savage Dragons_Miller Johnson_79
A444_Crimson Vipers_Emma Holt_100
A445_Silent Wolves_Niko O’Neal_66
A446_Crimson Dragons_Treasure Fox_72
A447_Silent Vipers_Antonio Wise_85
A448_Silent Dragons_Mira Camacho_82
A449_Crimson Giants_Tatum Lee_32
A450_Silent Giants_Scarlett Owen_44
A451_Shadow Wolves_Cannon Payne_44
A452_Silent Falcons_London Schroeder_39
A453_Shadow Knights_Izaiah Walls_21
A454_Iron Titans_Lilianna Kim_23
A455_Savage Wolves_Roman Abbott_55
A456_Silent Giants_Melany Melendez_74
A457_Golden Giants_Nikolas Singleton_92
A458_Savage Knights_Malaysia Poole_1
A459_Golden Giants_Quincy Peterson_53
A460_Thunder Titans_Caroline Kerr_78
A461_Shadow Falcons_Louie Barnett_84
A462_Crimson Knights_Harlow Goodwin_17
A463_Savage Titans_Kaison Rosas_23
A464_Shadow Giants_Joelle Browning_10
A465_Iron Wolves_Rohan Lozano_87
A466_Savage Raiders_Cecelia Blackwell_39
A467_Silent Dragons_Marcellus Bryan_36
A468_Silent Wolves_Meredith Wilkerson_81
A469_Crimson Titans_Carmelo Brock_52
A470_Golden Raiders_Jada Michael_62
A471_Frozen Knights_Bronson Tucker_84
A472_Crimson Titans_Esther Hampton_49
A473_Frozen Wolves_Hank Franklin_36
A474_Crimson Titans_Angela Berg_39
A475_Thunder Wolves_Cayson Henry_97
A476_Iron Dragons_Summer Lee_21
A477_Shadow Falcons_Jack Wilkins_4
A478_Thunder Raiders_Amalia Garza_11
A479_Crimson Titans_Judah Long_67
A480_Frozen Titans_Jade Walton_34
A481_Frozen Falcons_Dominick Maldonado_20
A482_Savage Giants_Elaina Ayers_5
A483_Frozen Titans_Ulises Cantu_23
A484_Golden Raiders_Galilea Davila_77
A485_Thunder Vipers_Grey Graham_98
A486_Frozen Knights_Alaia Miranda_68
A487_Frozen Falcons_Rory Dixon_86
A488_Savage Knights_Blakely Owen_29
A489_Silent Raiders_Cannon Kemp_22
A490_Frozen Giants_Anika Dawson_11
A491_Frozen Wolves_Iker Spence_44
A492_Thunder Vipers_Aislinn Zuniga_20
A493_Iron Titans_Sincere Choi_99
A494_Silent Knights_Karla Escobar_61
A495_Frozen Vipers_Zachariah Tucker_9
A496_Shadow Knights_Esther Correa_83
A497_Crimson Knights_Zakai Weber_64
A498_Golden Knights_Alayah Phelps_36
A499_Savage Raiders_Hamza Byrd_37
A500_Frozen Giants_Giselle Lambert_99
A501_Silent Titans_Mario Benitez_27
A502_Golden Titans_Aliza Daugherty_30
A503_Savage Vipers_Turner Baker_43
A504_Frozen Vipers_Isla Bridges_57
A505_Savage Giants_Mohammed Gould_42
A506_Crimson Titans_Violeta Bullock_61
A507_Shadow Dragons_Ben Serrano_71
A508_Frozen Knights_Allie Krueger_36
A509_Silent Wolves_Jones Bender_40
A510_Frozen Falcons_Lilyana Arroyo_28
A511_Crimson Knights_Alberto Macias_56
A512_Thunder Vipers_Adley Walters_32
A513_Crimson Giants_Colson Burgess_98
A514_Iron Raiders_Emory Lane_10
A515_Shadow Knights_Matias Lyons_47
A516_Thunder Titans_Kenzie Bennett_92
A517_Thunder Wolves_Leonardo Meadows_100
A518_Frozen Giants_Pearl Gill_20
A519_Golden Giants_Matthias Livingston_90
A520_Frozen Titans_Milena Valdez_82
A521_Iron Titans_Kyler Portillo_68
A522_Crimson Giants_Nathalie O’Donnell_79
A523_Thunder Falcons_Lian Roberson_74
A524_Silent Wolves_Sasha Decker_84
A525_Thunder Knights_Taylor Drake_78
A526_Crimson Vipers_Jayleen Dodson_37
A527_Savage Raiders_Seven Barron_29
A528_Shadow Falcons_Anya Quintero_77
A529_Golden Dragons_Thatcher Gaines_94
A530_Golden Wolves_Aya French_71
A531_Crimson Knights_Corey Ortega_79
A532_Shadow Giants_Lilah Bass_41
A533_Savage Giants_Landen Robbins_5
A534_Silent Vipers_Stevie Castro_24
A535_Savage Knights_Jasper Horn_31
A536_Thunder Raiders_Avah Gross_49
A537_Frozen Titans_Quinn Blair_14
A538_Thunder Raiders_Frances Hubbard_31
A539_Shadow Giants_Forrest Gardner_62
A540_Thunder Vipers_Jordyn Christensen_36
A541_Silent Falcons_Gregory Wu_70
A542_Silent Vipers_Liana Valencia_72
A543_Thunder Giants_Dax Vaughn_32
A544_Crimson Dragons_Reign Clarke_59
A545_Savage Dragons_Stetson Houston_34
A546_Iron Raiders_Lylah Houston_52
A547_Thunder Dragons_Sylas Andersen_26
A548_Iron Dragons_Zoie Curtis_44
A549_Silent Falcons_Muhammad McKee_17
A550_Crimson Titans_Kori Floyd_44
A551_Thunder Giants_Pierce Allison_91
A552_Iron Knights_Chelsea Carey_9
A553_Iron Falcons_Watson Everett_63
A554_Silent Vipers_Noah Dunn_99
A555_Iron Wolves_Dawson Morrison_39
A556_Shadow Giants_Rebecca Farrell_94
A557_Silent Giants_Ty Blackwell_5
A558_Iron Knights_Saoirse Russo_15
A559_Thunder Raiders_Jamie Bishop_27
A560_Golden Giants_Brooklynn Bender_13
A561_Golden Titans_Zavier Keith_72
A562_Iron Raiders_Elyse Wright_69
A563_Golden Titans_Grayson Logan_28
A564_Frozen Knights_Kora Hawkins_29
A565_Golden Giants_Victor Wise_21
A566_Golden Knights_Mira Reilly_8
A567_Frozen Titans_Alvaro Delacruz_61
A568_Shadow Wolves_Celine Roberts_24
A569_Crimson Vipers_Josiah Rios_93
A570_Frozen Titans_Brooke Bernard_75
A571_Thunder Giants_Jair Brown_97
A572_Golden Knights_Charlotte Cohen_86
A573_Frozen Knights_Killian Hopkins_67
A574_Savage Giants_Gabriela Wilkinson_73
A575_Thunder Dragons_Leonard Weiss_81
A576_Crimson Knights_Lennox Moon_62
A577_Savage Wolves_Nova Kirk_74
A578_Golden Raiders_Ellis Conrad_46
A579_Thunder Dragons_Dilan Vaughan_28
A580_Crimson Vipers_Nancy Moses_65
A581_Crimson Knights_Niklaus Barry_57
A582_Frozen Titans_Waverly Everett_55
A583_Golden Wolves_Camilo Henson_76
A584_Golden Vipers_Kinslee Heath_6
A585_Savage Raiders_Lionel Carson_64
A586_Savage Titans_Nalani Dillon_54
A587_Shadow Titans_Alvin Watson_94
A588_Crimson Raiders_Hailey McCann_37
A589_Silent Giants_Heath Glenn_98
A590_Savage Titans_Blaire Juarez_50
A591_Shadow Dragons_Joaquin Chung_17
A592_Iron Knights_Rivka Dougherty_34
A593_Savage Wolves_Brett Moody_84
A594_Savage Wolves_Elaine Rodriguez_22
A595_Silent Giants_Henry Mejia_1
A596_Golden Falcons_Saylor Hughes_27
A597_Frozen Giants_Everett Orozco_37
A598_Silent Dragons_Renata Melendez_29
A599_Golden Dragons_Nikolas Watson_80
A600_Iron Knights_Hailey Cross_35
A601_Crimson Vipers_Fabian Wiggins_9
A602_Shadow Vipers_Capri Sandoval_83
A603_Thunder Falcons_Brantley Solis_52
A604_Crimson Giants_Miracle Hartman_59
A605_Iron Vipers_Baker Clark_3
A606_Iron Raiders_Chloe Sellers_4
A607_Frozen Giants_Madden Gillespie_33
A608_Thunder Giants_Alianna Wang_24
A609_Frozen Dragons_Cohen Jenkins_77
A610_Savage Vipers_Rylee Buckley_78
A611_Frozen Falcons_Aryan Conley_68
A612_Golden Titans_Salem Dejesus_53
A613_Crimson Raiders_Rio Solis_74
A614_Crimson Giants_Miracle Parks_41
A615_Silent Dragons_Gianni Vance_36
A616_Silent Titans_Maxine Garcia_19
A617_Frozen Wolves_James Cameron_83
A618_Shadow Knights_Julie English_16
A619_Frozen Vipers_Junior Koch_37
A620_Iron Titans_Milana Berger_14
A621_Savage Knights_Byron Zuniga_46
A622_Savage Raiders_Leslie Gentry_56
A623_Savage Wolves_Magnus Dickerson_32
A624_Thunder Dragons_Opal McLean_83
A625_Savage Falcons_Crosby Stephenson_42
A626_Shadow Giants_Khaleesi McCarty_50
A627_Golden Giants_Blaise Parker_67
A628_Crimson Raiders_Aubrey Castillo_49
A629_Shadow Knights_Kai Taylor_86
A630_Silent Vipers_Sofia Patrick_51
A631_Crimson Vipers_Derrick Trejo_15
A632_Silent Falcons_Rosalyn Guevara_32
A633_Savage Falcons_Tommy Randall_17
A634_Shadow Giants_Christina Beck_18
A635_Frozen Raiders_Eduardo Cervantes_57
A636_Thunder Titans_Aylin Velazquez_2
A637_Shadow Knights_Drew Lambert_95
A638_Shadow Falcons_Nina Zamora_74
A639_Frozen Falcons_Quentin Archer_16
A640_Frozen Wolves_Kadence Velasquez_53
A641_Iron Knights_Sullivan Glenn_49
A642_Crimson Falcons_Blaire Nichols_69
A643_Frozen Dragons_Atlas Fox_22
A644_Frozen Raiders_Juliette Cervantes_95
A645_Thunder Raiders_Kamari Huynh_17
